epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.831,1.77264,1.15335,2.30824,0.73018,0.67486,0.72412,0.34322,3.87219,2.16404,4.53265,0.0671757,3.28571e-05,3.28571e-05
2,179.658,1.6443,1.10643,2.24994,0.78992,0.65832,0.69794,0.31811,3.92789,2.03738,4.77357,0.0338744,6.48799e-05,6.48799e-05
3,238.503,1.61472,1.06029,2.21042,0.75717,0.69793,0.71818,0.33977,3.86934,2.05617,4.77609,0.000571773,9.55827e-05,9.55827e-05
4,297.349,1.54769,1.02655,2.18984,0.74852,0.72259,0.72395,0.3439,3.8259,2.16743,4.75209,9.406e-05,9.406e-05,9.406e-05
5,357.394,1.50054,0.95678,2.16377,0.81375,0.69274,0.73827,0.34833,3.86999,2.09216,4.74655,9.208e-05,9.208e-05,9.208e-05
6,416.68,1.46779,0.98683,2.18137,0.784,0.6916,0.73804,0.34675,3.91834,2.12559,4.82384,9.01e-05,9.01e-05,9.01e-05
7,476.198,1.46253,0.97587,2.17339,0.77219,0.70125,0.73888,0.34707,3.85467,2.07665,4.7306,8.812e-05,8.812e-05,8.812e-05
8,534.918,1.54917,0.99956,2.19701,0.78891,0.64764,0.73278,0.33991,3.88459,2.15912,4.75051,8.614e-05,8.614e-05,8.614e-05
9,593.797,1.45122,0.9406,2.12256,0.78218,0.67297,0.73564,0.3452,3.87749,2.06643,4.7741,8.416e-05,8.416e-05,8.416e-05
10,653.643,1.43965,0.96288,2.14962,0.76737,0.6765,0.72946,0.34333,3.91688,2.14694,4.8157,8.218e-05,8.218e-05,8.218e-05
11,712.457,1.45502,0.97476,2.17275,0.77737,0.67265,0.7156,0.34161,3.85116,2.14564,4.79804,8.02e-05,8.02e-05,8.02e-05
12,771.188,1.45427,0.94086,2.1362,0.74471,0.67297,0.72638,0.34372,3.85327,2.11304,4.85226,7.822e-05,7.822e-05,7.822e-05
13,829.454,1.44888,0.97226,2.13434,0.75746,0.67092,0.72935,0.34422,3.85921,2.04998,4.8783,7.624e-05,7.624e-05,7.624e-05
14,888.98,1.45717,0.96953,2.13759,0.72842,0.677,0.72555,0.3422,3.89248,2.09846,4.87993,7.426e-05,7.426e-05,7.426e-05
15,949.446,1.46246,0.95485,2.15118,0.79541,0.61921,0.7234,0.34911,3.85924,2.10529,4.85238,7.228e-05,7.228e-05,7.228e-05
16,1009.84,1.45965,0.95412,2.12934,0.75543,0.68097,0.73394,0.33567,3.86533,2.08927,4.88218,7.03e-05,7.03e-05,7.03e-05
17,1069.3,1.42807,0.94231,2.13621,0.79143,0.66742,0.73101,0.34497,3.84809,2.14086,4.80684,6.832e-05,6.832e-05,6.832e-05
18,1128.58,1.41521,0.91918,2.11429,0.77142,0.67019,0.72307,0.33907,3.85347,2.15851,4.83327,6.634e-05,6.634e-05,6.634e-05
19,1187.43,1.37013,0.88374,2.08474,0.75993,0.68781,0.72684,0.33918,3.84807,2.1172,4.81512,6.436e-05,6.436e-05,6.436e-05
20,1246.54,1.39784,0.93523,2.13888,0.76657,0.6824,0.72933,0.33823,3.89475,2.14085,4.86971,6.238e-05,6.238e-05,6.238e-05
21,1305.74,1.41726,0.94564,2.12675,0.77944,0.68292,0.7334,0.34157,3.86122,2.13925,4.84591,6.04e-05,6.04e-05,6.04e-05
22,1365.26,1.4164,0.93051,2.11699,0.77165,0.67336,0.72613,0.34194,3.87356,2.12855,4.89048,5.842e-05,5.842e-05,5.842e-05
23,1424.95,1.41425,0.94909,2.10412,0.75026,0.65848,0.72854,0.34265,3.86599,2.14681,4.86304,5.644e-05,5.644e-05,5.644e-05
24,1483.76,1.37722,0.90139,2.10453,0.75377,0.69615,0.73862,0.34337,3.84868,2.07225,4.90372,5.446e-05,5.446e-05,5.446e-05
25,1542.42,1.35761,0.89566,2.08909,0.77419,0.66188,0.73657,0.34826,3.89207,2.13449,4.97552,5.248e-05,5.248e-05,5.248e-05
26,1600.21,1.34996,0.87326,2.07543,0.80219,0.64953,0.73188,0.34429,3.87771,2.13815,4.92593,5.05e-05,5.05e-05,5.05e-05
27,1658.2,1.33253,0.87537,2.07457,0.76126,0.64953,0.71786,0.33879,3.88162,2.18659,4.89773,4.852e-05,4.852e-05,4.852e-05
28,1716.43,1.39756,0.89753,2.08973,0.77586,0.65911,0.71987,0.3375,3.866,2.18623,4.88643,4.654e-05,4.654e-05,4.654e-05
29,1774.95,1.37477,0.8993,2.0895,0.73904,0.65634,0.71119,0.33136,3.87728,2.19553,4.90344,4.456e-05,4.456e-05,4.456e-05
30,1834.14,1.34457,0.89922,2.07928,0.76631,0.66528,0.72306,0.33875,3.85861,2.1663,4.8887,4.258e-05,4.258e-05,4.258e-05
31,1893.03,1.36661,0.88727,2.08372,0.75377,0.66662,0.71853,0.33545,3.86492,2.18254,4.8847,4.06e-05,4.06e-05,4.06e-05
32,1951.17,1.35099,0.87291,2.07575,0.74308,0.67016,0.72377,0.33947,3.85784,2.18998,4.88119,3.862e-05,3.862e-05,3.862e-05
33,2009.63,1.35423,0.85912,2.07022,0.7503,0.66897,0.71838,0.33464,3.86334,2.21792,4.92318,3.664e-05,3.664e-05,3.664e-05
34,2067.98,1.3465,0.88666,2.0689,0.76107,0.6563,0.71712,0.33878,3.85707,2.25422,4.91082,3.466e-05,3.466e-05,3.466e-05
35,2126.12,1.32279,0.86962,2.07082,0.73802,0.66528,0.71804,0.34096,3.84712,2.20539,4.90671,3.268e-05,3.268e-05,3.268e-05
36,2184.31,1.32685,0.8867,2.06641,0.74101,0.66236,0.71978,0.33985,3.86467,2.2387,4.9071,3.07e-05,3.07e-05,3.07e-05
37,2243.63,1.34778,0.8817,2.08411,0.76733,0.67742,0.73007,0.34457,3.86391,2.22781,4.9184,2.872e-05,2.872e-05,2.872e-05
38,2303.09,1.31913,0.82523,2.06181,0.76063,0.66528,0.7314,0.34168,3.85542,2.21821,4.90177,2.674e-05,2.674e-05,2.674e-05
39,2361.7,1.31282,0.87296,2.08676,0.74211,0.66251,0.721,0.34252,3.85741,2.22972,4.9,2.476e-05,2.476e-05,2.476e-05
40,2420.12,1.2969,0.84306,2.06713,0.73194,0.67512,0.71984,0.33863,3.84668,2.19185,4.89482,2.278e-05,2.278e-05,2.278e-05
